surrogate_setting,dataset,target_type,target_item,victim_model,method,metric,k,attack_size,value
SR-GNN,diginetica,popular,1440,miasrec,CREAT,recall,10,0.01,0.3002727661112754
SR-GNN,diginetica,popular,1440,miasrec,CREAT,recall,20,0.01,0.4099214565053074
SR-GNN,diginetica,popular,1440,miasrec,CREAT,recall,30,0.01,0.440303657694962
SR-GNN,diginetica,popular,1440,miasrec,CREAT,recall,40,0.01,0.4524302474613033
SR-GNN,diginetica,popular,1440,miasrec,CREAT,recall,50,0.01,0.4561273784876269
SR-GNN,diginetica,popular,1440,miasrec,DPSBR,mrr,10,0.01,0.0480383361841013
SR-GNN,diginetica,popular,1440,miasrec,DPSBR,mrr,20,0.01,0.0667682461158016
SR-GNN,diginetica,popular,1440,miasrec,DPSBR,mrr,30,0.01,0.0731190537381755
SR-GNN,diginetica,popular,1440,miasrec,DPSBR,mrr,40,0.01,0.0755602599752996
SR-GNN,diginetica,popular,1440,miasrec,DPSBR,mrr,50,0.01,0.0766768179008977
SR-GNN,diginetica,popular,1440,miasrec,DPSBR,recall,10,0.01,0.2428111341154819
SR-GNN,diginetica,popular,1440,miasrec,DPSBR,recall,20,0.01,0.5155936770843603
SR-GNN,diginetica,popular,1440,miasrec,DPSBR,recall,30,0.01,0.6715797430083145
SR-GNN,diginetica,popular,1440,miasrec,DPSBR,recall,40,0.01,0.7564658713727037
SR-GNN,diginetica,popular,1440,miasrec,DPSBR,recall,50,0.01,0.8066318314765519
SR-GNN,diginetica,popular,1440,miasrec,Poisoning-SSL,mrr,10,0.01,0.0352211262543508
SR-GNN,diginetica,popular,1440,miasrec,Poisoning-SSL,mrr,20,0.01,0.0401948908264413
SR-GNN,diginetica,popular,1440,miasrec,Poisoning-SSL,mrr,30,0.01,0.0427462466970054
SR-GNN,diginetica,popular,1440,miasrec,Poisoning-SSL,mrr,40,0.01,0.0444987635433633
SR-GNN,diginetica,popular,1440,miasrec,Poisoning-SSL,mrr,50,0.01,0.0457709908918676
SR-GNN,diginetica,popular,1440,miasrec,Poisoning-SSL,recall,10,0.01,0.1125078050543889
SR-GNN,diginetica,popular,1440,miasrec,Poisoning-SSL,recall,20,0.01,0.185628840908344
SR-GNN,diginetica,popular,1440,miasrec,Poisoning-SSL,recall,30,0.01,0.2496467185908179
SR-GNN,diginetica,popular,1440,miasrec,Poisoning-SSL,recall,40,0.01,0.3112162739491932
SR-GNN,diginetica,popular,1440,miasrec,Poisoning-SSL,recall,50,0.01,0.3688915179598409
SR-GNN,diginetica,popular,1440,miasrec,TC-SACP-C,mrr,10,0.01,0.0838558546645437
