dataset,target_type,victim_model,surrogate,method,recall20_mean,recall20_std
yoochoose1_64,unpopular,srgnn,FreqRec,TC-SACP-G,0.3555154030555655,0.014418881812011185
yoochoose1_64,unpopular,tron,FreqRec,TC-SACP-G,0.5500941146944409,0.07277558771373882
yoochoose1_64,unpopular,wearec,FreqRec,TC-SACP-G,0.2348724462413682,0.05540176528556198
diginetica,popular,freqrec,FreqRec,TC-SACP-C,0.022867987774820027,0.002148779281227627
diginetica,popular,mdhg,FreqRec,TC-SACP-C,0.3235909822866344,0.41510134454146796
diginetica,popular,miasrec,FreqRec,TC-SACP-C,0.5955486542443065,0.08848474075099165
diginetica,popular,srgnn,FreqRec,TC-SACP-C,0.28760228729172826,0.019017496240278473
diginetica,popular,tron,FreqRec,TC-SACP-C,0.07106050149528406,0.05400746235290351
diginetica,popular,wearec,FreqRec,TC-SACP-C,0.04608104111209696,0.007110678935908689
diginetica,unpopular,freqrec,FreqRec,TC-SACP-C,0.018543166058693973,0.0020870658512079834
diginetica,unpopular,mdhg,FreqRec,TC-SACP-C,0.22693483190377597,0.3690507623484059
diginetica,unpopular,miasrec,FreqRec,TC-SACP-C,0.5524696835255842,0.07744718108738777
diginetica,unpopular,srgnn,FreqRec,TC-SACP-C,0.29148181011535046,0.028055078368979955
diginetica,unpopular,tron,FreqRec,TC-SACP-C,0.055111899832396685,0.03467476672778722
diginetica,unpopular,wearec,FreqRec,TC-SACP-C,0.04131256367281208,0.005774548976494186
yoochoose1_64,popular,freqrec,FreqRec,TC-SACP-C,0.15965150810404663,0.025466000421996995
yoochoose1_64,popular,mdhg,FreqRec,TC-SACP-C,0.3676839958495831,0.30974972718373855
yoochoose1_64,popular,miasrec,FreqRec,TC-SACP-C,0.3856864288525529,0.04012343953266381
yoochoose1_64,popular,srgnn,FreqRec,TC-SACP-C,0.3930927761279473,0.018262902223743445
yoochoose1_64,popular,tron,FreqRec,TC-SACP-C,0.3409999462201746,0.08860676694755273
yoochoose1_64,popular,wearec,FreqRec,TC-SACP-C,0.19855987691867327,0.03700640885363592
yoochoose1_64,unpopular,freqrec,FreqRec,TC-SACP-C,0.14551504526101106,0.013184946441524422
yoochoose1_64,unpopular,mdhg,FreqRec,TC-SACP-C,0.5259687287559484,0.35357937658814537
yoochoose1_64,unpopular,miasrec,FreqRec,TC-SACP-C,0.381752477727289,0.07160141358651692
yoochoose1_64,unpopular,srgnn,FreqRec,TC-SACP-C,0.40279795341514896,0.02425838605745552
yoochoose1_64,unpopular,tron,FreqRec,TC-SACP-C,0.28811465858774177,0.09195271122196101
yoochoose1_64,unpopular,wearec,FreqRec,TC-SACP-C,0.2002683459157751,0.05858249331600324
