surrogate_setting,dataset,target_type,victim_model,method,metric,k,mean,std,count
SR-GNN,diginetica,popular,mdhg,CREAT,mrr,10,0.08669661929644193,0.2740573889117634,10
SR-GNN,diginetica,popular,mdhg,CREAT,mrr,20,0.08676495171935475,0.27419798940929163,10
SR-GNN,diginetica,popular,mdhg,CREAT,mrr,30,0.08678996303050363,0.27421863667990376,10
SR-GNN,diginetica,popular,mdhg,CREAT,mrr,40,0.0868181616549541,0.2742224759378065,10
SR-GNN,diginetica,popular,mdhg,CREAT,mrr,50,0.08685836025139211,0.2742161781082716,10
SR-GNN,diginetica,popular,mdhg,CREAT,recall,10,0.09289493575207859,0.2933266165324496,10
SR-GNN,diginetica,popular,mdhg,CREAT,recall,20,0.09386111932695777,0.2952217467480462,10
SR-GNN,diginetica,popular,mdhg,CREAT,recall,30,0.09449373952479537,0.295727365653283,10
SR-GNN,diginetica,popular,mdhg,CREAT,recall,40,0.09550428867199048,0.29585220406745705,10
SR-GNN,diginetica,popular,mdhg,CREAT,recall,50,0.09734792467711718,0.2955584696501384,10
SR-GNN,diginetica,popular,mdhg,DPSBR,mrr,10,0.10014878572393601,0.31609293661203725,10
SR-GNN,diginetica,popular,mdhg,DPSBR,mrr,20,0.10022331523285295,0.3160667544056964,10
SR-GNN,diginetica,popular,mdhg,DPSBR,mrr,30,0.10029379366546631,0.3160419962294947,10
SR-GNN,diginetica,popular,mdhg,DPSBR,mrr,40,0.10036903338652521,0.3160155664251628,10
SR-GNN,diginetica,popular,mdhg,DPSBR,mrr,50,0.1004485063729423,0.3159876504121249,10
SR-GNN,diginetica,popular,mdhg,DPSBR,recall,10,0.10072792401984942,0.31591436991010985,10
SR-GNN,diginetica,popular,mdhg,DPSBR,recall,20,0.10186335403726703,0.3155158579286442,10
SR-GNN,diginetica,popular,mdhg,DPSBR,recall,30,0.1036560517926977,0.3148872071594616,10
SR-GNN,diginetica,popular,mdhg,DPSBR,recall,40,0.10632948831706593,0.31395162361741014,10
SR-GNN,diginetica,popular,mdhg,DPSBR,recall,50,0.10995760623089812,0.3126846218536333,10
SR-GNN,diginetica,popular,mdhg,Poisoning-SSL,mrr,10,0.5983284599017125,0.5145200449467893,10
