dataset,target_type,target_item,victim_model,method,attack_size,recall20
diginetica,popular,11103,wearec,TC-SACP-G,0.005,0.02096684084261724
diginetica,popular,1440,freqrec,TC-SACP-G,0.005,0.0044365572315882874
diginetica,popular,1440,mdhg,TC-SACP-G,0.005,0.0022347103092444707
diginetica,popular,1440,miasrec,TC-SACP-G,0.005,0.17092247527030136
diginetica,popular,1440,srgnn,TC-SACP-G,0.005,0.1564625850340136
diginetica,popular,1440,tron,TC-SACP-G,0.005,0.019898780768345985
diginetica,popular,1440,wearec,TC-SACP-G,0.005,0.020046666009398927
diginetica,popular,14514,freqrec,TC-SACP-G,0.005,0.004337967070886325
diginetica,popular,14514,mdhg,TC-SACP-G,0.005,0.001889644746787604
diginetica,popular,14514,miasrec,TC-SACP-G,0.005,0.37344309704558154
diginetica,popular,14514,srgnn,TC-SACP-G,0.005,0.17315718557954582
diginetica,popular,14514,tron,TC-SACP-G,0.005,0.034095763909428506
diginetica,popular,14514,wearec,TC-SACP-G,0.005,0.020999704229517895
diginetica,popular,32614,freqrec,TC-SACP-G,0.005,0.003664267639422919
diginetica,popular,32614,mdhg,TC-SACP-G,0.005,0.9997699562916954
diginetica,popular,32614,miasrec,TC-SACP-G,0.005,0.32181471622465413
diginetica,popular,32614,srgnn,TC-SACP-G,0.005,0.16144138814946268
diginetica,popular,32614,tron,TC-SACP-G,0.005,0.22767754444773078
diginetica,popular,32614,wearec,TC-SACP-G,0.005,0.026816523710933647
diginetica,popular,3316,freqrec,TC-SACP-G,0.005,0.002859114660356896
diginetica,popular,3316,mdhg,TC-SACP-G,0.005,0.0014952841039797562
diginetica,popular,3316,miasrec,TC-SACP-G,0.005,0.2660619803476946
diginetica,popular,3316,srgnn,TC-SACP-G,0.005,0.1730750271122942
diginetica,popular,3316,tron,TC-SACP-G,0.005,0.018814289000624405
diginetica,popular,3316,wearec,TC-SACP-G,0.005,0.016448125143777317
diginetica,popular,39588,freqrec,TC-SACP-G,0.005,0.004551579085740576
diginetica,popular,39588,mdhg,TC-SACP-G,0.005,1
diginetica,popular,39588,miasrec,TC-SACP-G,0.005,0.25135561470965195
diginetica,popular,39588,srgnn,TC-SACP-G,0.005,0.16712675408327582
diginetica,popular,39588,tron,TC-SACP-G,0.005,0.052992211377304546
diginetica,popular,39588,wearec,TC-SACP-G,0.005,0.022675736961451247
diginetica,popular,4092,freqrec,TC-SACP-G,0.005,0.003138453449012455
diginetica,popular,4092,mdhg,TC-SACP-G,0.005,0.0030891583686614744
diginetica,popular,4092,miasrec,TC-SACP-G,0.005,0.22840053895954518
diginetica,popular,4092,srgnn,TC-SACP-G,0.005,0.16806336060994445
diginetica,popular,4092,tron,TC-SACP-G,0.005,0.023825955502974137
diginetica,popular,4092,wearec,TC-SACP-G,0.005,0.020441026652206776
diginetica,popular,5334,freqrec,TC-SACP-G,0.005,0.004403693844687633
diginetica,popular,5334,mdhg,TC-SACP-G,0.005,0.0022511420026947978
diginetica,popular,5334,miasrec,TC-SACP-G,0.005,0.32942259029215554
diginetica,popular,5334,srgnn,TC-SACP-G,0.005,0.1706431364816458
diginetica,popular,5334,tron,TC-SACP-G,0.005,0.039206020572480196
diginetica,popular,5334,wearec,TC-SACP-G,0.005,0.015281474908804101
diginetica,popular,5418,freqrec,TC-SACP-G,0.005,0.005438890532058234
diginetica,popular,5418,mdhg,TC-SACP-G,0.005,0.0041572184429327285
diginetica,popular,5418,miasrec,TC-SACP-G,0.005,0.2995333399060107
