dataset,target_type,victim_model,method,attack_size,recall20_mean
diginetica,popular,freqrec,Poisoning-SSL,0.01,0.03785533537086328
diginetica,popular,mdhg,Poisoning-SSL,0.01,0.6028344671201814
diginetica,popular,miasrec,Poisoning-SSL,0.01,0.221308620066384
diginetica,popular,srgnn,Poisoning-SSL,0.01,0.11525518419928356
diginetica,popular,tron,Poisoning-SSL,0.01,0.2749876762299122
diginetica,popular,wearec,Poisoning-SSL,0.01,0.05621610963225866
diginetica,popular,freqrec,DPSBR,0.01,0.01582372079266483
diginetica,popular,mdhg,DPSBR,0.01,0.10186335403726703
diginetica,popular,miasrec,DPSBR,0.01,0.45448420914259424
diginetica,popular,srgnn,DPSBR,0.01,0.2565546025173354
diginetica,popular,tron,DPSBR,0.01,0.34958592132505173
diginetica,popular,wearec,DPSBR,0.01,0.04615005422458835
diginetica,unpopular,freqrec,TC-SACP-C,0.01,0.014990633934733261
diginetica,unpopular,mdhg,TC-SACP-C,0.01,0.38788984192710896
diginetica,unpopular,miasrec,TC-SACP-C,0.01,0.6312695126359722
diginetica,unpopular,srgnn,TC-SACP-C,0.01,0.32391961615564097
diginetica,unpopular,tron,TC-SACP-C,0.01,0.19849157054125996
diginetica,unpopular,wearec,TC-SACP-C,0.01,0.045090209997042247
diginetica,unpopular,freqrec,CREAT,0.01,0.01445496072825261
diginetica,unpopular,mdhg,CREAT,0.01,0.20016431693450323
diginetica,unpopular,miasrec,CREAT,0.01,0.3195044201255381
diginetica,unpopular,srgnn,CREAT,0.01,0.20409806434651148
diginetica,unpopular,tron,CREAT,0.01,0.0691232048374905
diginetica,unpopular,wearec,CREAT,0.01,0.04947747214827955
diginetica,unpopular,freqrec,TC-SACP-G,0.01,0.013891353642906371
diginetica,unpopular,mdhg,TC-SACP-G,0.01,0.7005603207466561
diginetica,unpopular,miasrec,TC-SACP-G,0.01,0.6154112852870617
diginetica,unpopular,srgnn,TC-SACP-G,0.01,0.28807059055506257
diginetica,unpopular,tron,TC-SACP-G,0.01,0.4426106674553879
diginetica,unpopular,wearec,TC-SACP-G,0.01,0.0530316474415853
diginetica,unpopular,freqrec,Poisoning-SSL,0.01,0.030438068947385676
diginetica,unpopular,mdhg,Poisoning-SSL,0.01,0.6022527851720398
diginetica,unpopular,miasrec,Poisoning-SSL,0.01,0.19333694830589238
diginetica,unpopular,srgnn,Poisoning-SSL,0.01,0.09567024877583881
diginetica,unpopular,tron,Poisoning-SSL,0.01,0.3553386572020112
diginetica,unpopular,wearec,Poisoning-SSL,0.01,0.04535311709224748
diginetica,unpopular,freqrec,DPSBR,0.01,0.0144352426961122
diginetica,unpopular,mdhg,DPSBR,0.01,0.30064412238325283
diginetica,unpopular,miasrec,DPSBR,0.01,0.5214137829044662
diginetica,unpopular,srgnn,DPSBR,0.01,0.24754181865983105
diginetica,unpopular,tron,DPSBR,0.01,0.47583226527325906
diginetica,unpopular,wearec,DPSBR,0.01,0.042814420454171956
yoochoose1_64,popular,freqrec,TC-SACP-C,0.01,0.11354789080110197
yoochoose1_64,popular,mdhg,TC-SACP-C,0.01,0.24532899209274034
yoochoose1_64,popular,miasrec,TC-SACP-C,0.01,0.38146445311102367
yoochoose1_64,popular,srgnn,TC-SACP-C,0.01,0.43958638949515183
yoochoose1_64,popular,tron,TC-SACP-C,0.01,0.39090941684742664
yoochoose1_64,popular,wearec,TC-SACP-C,0.01,0.19841318115138282
yoochoose1_64,popular,freqrec,CREAT,0.01,0.11190024687824247
yoochoose1_64,popular,mdhg,CREAT,0.01,0.32602776485741886
yoochoose1_64,popular,miasrec,CREAT,0.01,0.27230670149200326
yoochoose1_64,popular,srgnn,CREAT,0.01,0.2619825396257468
yoochoose1_64,popular,tron,CREAT,0.01,0.4960507681551727
yoochoose1_64,popular,wearec,CREAT,0.01,0.16309170274428417
yoochoose1_64,popular,freqrec,TC-SACP-G,0.01,0.1281423306737271
yoochoose1_64,popular,mdhg,TC-SACP-G,0.01,0.43593509606783776
yoochoose1_64,popular,miasrec,TC-SACP-G,0.01,0.3938298329099431
yoochoose1_64,popular,srgnn,TC-SACP-G,0.01,0.412250885541522
yoochoose1_64,popular,tron,TC-SACP-G,0.01,0.6440456769983687
yoochoose1_64,popular,wearec,TC-SACP-G,0.01,0.21856238148055382
yoochoose1_64,popular,freqrec,Poisoning-SSL,0.01,0.266043507817811
yoochoose1_64,popular,mdhg,Poisoning-SSL,0.01,0.4555028802461626
yoochoose1_64,popular,miasrec,Poisoning-SSL,0.01,0.35073168986368025
yoochoose1_64,popular,srgnn,Poisoning-SSL,0.01,0.3723299581380371
yoochoose1_64,popular,tron,Poisoning-SSL,0.01,0.5097843429001667
yoochoose1_64,popular,wearec,Poisoning-SSL,0.01,0.3186750867651794
yoochoose1_64,popular,freqrec,DPSBR,0.01,0.11503810512004002
yoochoose1_64,popular,mdhg,DPSBR,0.01,0.3680077999212852
yoochoose1_64,popular,miasrec,DPSBR,0.01,0.3690972843393323
yoochoose1_64,popular,srgnn,DPSBR,0.01,0.3700937421732441
yoochoose1_64,popular,tron,DPSBR,0.01,0.5565727909936719
yoochoose1_64,popular,wearec,DPSBR,0.01,0.21161937815306447
yoochoose1_64,unpopular,freqrec,TC-SACP-C,0.01,0.12200794303910692
yoochoose1_64,unpopular,mdhg,TC-SACP-C,0.01,0.3170775340799313
yoochoose1_64,unpopular,miasrec,TC-SACP-C,0.01,0.39360442234069193
yoochoose1_64,unpopular,srgnn,TC-SACP-C,0.01,0.44739704461698093
yoochoose1_64,unpopular,tron,TC-SACP-C,0.01,0.28532527831059634
yoochoose1_64,unpopular,wearec,TC-SACP-C,0.01,0.2000805037747325
yoochoose1_64,unpopular,freqrec,CREAT,0.01,0.10757987763426238
yoochoose1_64,unpopular,mdhg,CREAT,0.01,0.3915864610540627
yoochoose1_64,unpopular,miasrec,CREAT,0.01,0.28407993130344555
yoochoose1_64,unpopular,srgnn,CREAT,0.01,0.27913699953486704
yoochoose1_64,unpopular,tron,CREAT,0.01,0.4636824839108689
yoochoose1_64,unpopular,wearec,CREAT,0.01,0.16869297649289774
yoochoose1_64,unpopular,freqrec,TC-SACP-G,0.01,0.12178074349708394
yoochoose1_64,unpopular,mdhg,TC-SACP-G,0.01,0.5100468710866221
yoochoose1_64,unpopular,miasrec,TC-SACP-G,0.01,0.3791656230992164
yoochoose1_64,unpopular,srgnn,TC-SACP-G,0.01,0.4022451608286522
yoochoose1_64,unpopular,tron,TC-SACP-G,0.01,0.551167918541491
yoochoose1_64,unpopular,wearec,TC-SACP-G,0.01,0.23537693656302547
yoochoose1_64,unpopular,freqrec,Poisoning-SSL,0.01,0.08055923288847538
yoochoose1_64,unpopular,mdhg,Poisoning-SSL,0.01,0.5197735160470858
