dataset,target_type,target_item,victim_model,metric,k,value,method
diginetica,popular,14514,srgnn,mrr,50,0.062827788234991,TC-SACP-G w/o Sur.
diginetica,popular,14514,tron,recall,10,0.10391402937986789,TC-SACP-G w/o Sur.
diginetica,popular,14514,tron,recall,20,0.25930855433961025,TC-SACP-G w/o Sur.
diginetica,popular,14514,tron,recall,30,0.3984192710900785,TC-SACP-G w/o Sur.
diginetica,popular,14514,tron,recall,40,0.5094646554273884,TC-SACP-G w/o Sur.
diginetica,popular,14514,tron,recall,50,0.59849157054126,TC-SACP-G w/o Sur.
diginetica,popular,14514,tron,mrr,10,0.01916550992761168,TC-SACP-G w/o Sur.
diginetica,popular,14514,tron,mrr,20,0.029585247046083604,TC-SACP-G w/o Sur.
diginetica,popular,14514,tron,mrr,30,0.035131966592241916,TC-SACP-G w/o Sur.
diginetica,popular,14514,tron,mrr,40,0.03829804192706023,TC-SACP-G w/o Sur.
diginetica,popular,14514,tron,mrr,50,0.04027076282439315,TC-SACP-G w/o Sur.
diginetica,popular,14514,wearec,recall,10,0.009251043412534096,TC-SACP-G w/o Sur.
diginetica,popular,14514,wearec,recall,20,0.02763810838345,TC-SACP-G w/o Sur.
diginetica,popular,14514,wearec,recall,30,0.06178316737322948,TC-SACP-G w/o Sur.
diginetica,popular,14514,wearec,recall,40,0.12560386473429952,TC-SACP-G w/o Sur.
diginetica,popular,14514,wearec,recall,50,0.21323408590489334,TC-SACP-G w/o Sur.
diginetica,popular,14514,wearec,mrr,10,0.004155849135145195,TC-SACP-G w/o Sur.
diginetica,popular,14514,wearec,mrr,20,0.005353194577583778,TC-SACP-G w/o Sur.
diginetica,popular,14514,wearec,mrr,30,0.00667171606011183,TC-SACP-G w/o Sur.
diginetica,popular,14514,wearec,mrr,40,0.00845823196125145,TC-SACP-G w/o Sur.
diginetica,popular,14514,wearec,mrr,50,0.010385851488738962,TC-SACP-G w/o Sur.
diginetica,popular,32614,freqrec,recall,10,0.003434223931118341,TC-SACP-G w/o Sur.
diginetica,popular,32614,freqrec,recall,20,0.013654737257221728,TC-SACP-G w/o Sur.
diginetica,popular,32614,freqrec,recall,30,0.03172960005258142,TC-SACP-G w/o Sur.
diginetica,popular,32614,freqrec,recall,40,0.06615399783101647,TC-SACP-G w/o Sur.
diginetica,popular,32614,freqrec,recall,50,0.11449603996187847,TC-SACP-G w/o Sur.
diginetica,popular,32614,freqrec,mrr,10,0.0006358282903683679,TC-SACP-G w/o Sur.
diginetica,popular,32614,freqrec,mrr,20,0.0012995012085857478,TC-SACP-G w/o Sur.
diginetica,popular,32614,freqrec,mrr,30,0.0020070358040708797,TC-SACP-G w/o Sur.
diginetica,popular,32614,freqrec,mrr,40,0.0029684584366157433,TC-SACP-G w/o Sur.
diginetica,popular,32614,freqrec,mrr,50,0.004026197786149268,TC-SACP-G w/o Sur.
diginetica,popular,32614,mdhg,recall,10,0.9973052022741463,TC-SACP-G w/o Sur.
diginetica,popular,32614,mdhg,recall,20,0.9974202241282987,TC-SACP-G w/o Sur.
diginetica,popular,32614,mdhg,recall,30,0.9975188142890006,TC-SACP-G w/o Sur.
diginetica,popular,32614,mdhg,recall,40,0.9975516776759012,TC-SACP-G w/o Sur.
